id,created_at,updated_at,course_id,place_id,user_id
312,2023-11-29 09:37:38.892854,2023-11-29 09:37:38.892886,,1707,27
313,2023-11-29 09:38:40.996309,2023-11-29 09:38:40.996341,,1797,28
314,2023-11-29 09:39:51.801379,2023-11-29 09:39:51.801411,,227,28
315,2023-11-29 09:40:36.373229,2023-11-29 09:40:36.373264,,234,28
316,2023-11-29 09:40:55.783495,2023-11-29 09:40:55.783536,,1171,22
317,2023-11-29 09:40:57.185629,2023-11-29 09:40:57.185666,,1140,22
318,2023-11-29 09:40:58.828569,2023-11-29 09:40:58.828605,,1174,22
319,2023-11-29 09:41:41.212776,2023-11-29 09:41:41.212810,,205,28
320,2023-11-29 09:41:44.735669,2023-11-29 09:41:44.735704,,1801,22
321,2023-11-29 09:42:17.925596,2023-11-29 09:42:17.925630,,1856,22
322,2023-11-29 09:42:20.015756,2023-11-29 09:42:20.015795,,1844,22
323,2023-11-29 09:42:20.661972,2023-11-29 09:42:20.662011,,1846,22
324,2023-11-29 09:42:30.935531,2023-11-29 09:42:30.935565,,962,22
325,2023-11-29 09:42:41.645694,2023-11-29 09:42:41.645728,,15,22
326,2023-11-29 09:43:12.875541,2023-11-29 09:43:12.875575,,1306,22
327,2023-11-29 09:43:17.735513,2023-11-29 09:43:17.735547,,1420,22
328,2023-11-29 09:43:26.985426,2023-11-29 09:43:26.985469,,1761,22
329,2023-11-29 09:44:30.054618,2023-11-29 09:44:30.054656,,632,28
330,2023-11-29 09:44:32.713757,2023-11-29 09:44:32.713789,,685,28
331,2023-11-29 09:44:43.315553,2023-11-29 09:44:43.315587,,898,22
332,2023-11-29 09:44:44.290635,2023-11-29 09:44:44.290667,,903,22
333,2023-11-29 09:44:45.625882,2023-11-29 09:44:45.625916,,906,22
334,2023-11-29 09:44:47.423032,2023-11-29 09:44:47.423064,,814,28
335,2023-11-29 09:44:58.815638,2023-11-29 09:44:58.815673,,1428,22
336,2023-11-29 09:45:20.185877,2023-11-29 09:45:20.185916,,205,22
337,2023-11-29 09:45:27.845420,2023-11-29 09:45:27.845456,,215,22
338,2023-11-29 09:45:28.810562,2023-11-29 09:45:28.810592,,214,22
339,2023-11-29 09:45:40.585810,2023-11-29 09:45:40.585847,,259,22
340,2023-11-29 09:45:44.665651,2023-11-29 09:45:44.665690,,262,22
341,2023-11-29 09:45:59.935645,2023-11-29 09:45:59.935681,,375,22
342,2023-11-29 09:46:16.208356,2023-11-29 09:46:16.208388,,1514,29
343,2023-11-29 09:46:16.935588,2023-11-29 09:46:16.935625,,1064,22
344,2023-11-29 09:46:20.095793,2023-11-29 09:46:20.095831,,1305,22
345,2023-11-29 09:46:22.715797,2023-11-29 09:46:22.715835,,1438,22
346,2023-11-29 09:46:27.065937,2023-11-29 09:46:27.065990,,1660,22
347,2023-11-29 09:46:27.998473,2023-11-29 09:46:27.998502,,653,28
348,2023-11-29 09:46:35.835716,2023-11-29 09:46:35.835752,,1580,22
349,2023-11-29 09:46:40.095701,2023-11-29 09:46:40.095739,,1557,22
350,2023-11-29 09:46:45.846208,2023-11-29 09:46:45.846269,,1797,31
351,2023-11-29 09:46:49.223863,2023-11-29 09:46:49.223902,,1701,22
352,2023-11-29 09:46:56.569518,2023-11-29 09:46:56.569550,,1420,28
353,2023-11-29 09:46:57.199980,2023-11-29 09:46:57.200010,,1625,29
354,2023-11-29 09:47:02.056096,2023-11-29 09:47:02.056137,,1722,31
355,2023-11-29 09:47:02.213474,2023-11-29 09:47:02.213505,,658,22
356,2023-11-29 09:47:03.295749,2023-11-29 09:47:03.295784,,230,31
357,2023-11-29 09:47:04.045799,2023-11-29 09:47:04.045828,,1625,31
358,2023-11-29 09:47:04.475198,2023-11-29 09:47:04.475230,,1557,31
359,2023-11-29 09:47:05.213711,2023-11-29 09:47:05.213747,,657,22
360,2023-11-29 09:47:06.735147,2023-11-29 09:47:06.735183,,1722,30
361,2023-11-29 09:47:07.457558,2023-11-29 09:47:07.457587,,1821,31
362,2023-11-29 09:47:08.176165,2023-11-29 09:47:08.176197,,1797,30
